# partition_overlap_shell_SrTiO3.csv - scripts/scan_partition_sensitivity.py
# Per-mode Route S vs Route H comparison over the 150-200 cm-1 shell at 300 K.
# gamma_S = -D/(2*omega0^2); gamma_H = -D/(2*omega_r^2), omega_r from the
# 300 K bare->renormalized eigenvalue map; rel_diff = (gamma_H-gamma_S)/|gamma_S|.
q_index,branch,omega0_cm1,omega_r_cm1,D_cm2,gamma_S,gamma_H,rel_diff
67,5,173.2883,194.9074,1477.9672,-0.024609,-0.019453,0.209537
67,6,176.8875,208.6933,2555.2612,-0.040833,-0.029335,0.281582
68,5,191.0866,218.9916,2612.2918,-0.035771,-0.027236,0.238613
75,5,191.0866,218.9916,2612.2918,-0.035771,-0.027236,0.238613
76,5,173.2883,194.9074,1477.9672,-0.024609,-0.019453,0.209537
76,6,176.8875,208.6933,2555.2612,-0.040833,-0.029335,0.281582
77,5,153.4098,182.7898,2381.2803,-0.050591,-0.035635,0.295628
77,6,154.2668,181.2816,2126.3432,-0.044674,-0.032352,0.275835
77,7,154.2668,181.2816,1838.7652,-0.038632,-0.027976,0.275835
78,5,167.9085,195.6847,4626.5986,-0.082051,-0.060411,0.263740
78,6,169.3118,194.8184,-1180.8216,0.020596,0.015556,-0.244709
78,7,199.3402,228.9872,2192.2949,-0.027585,-0.020905,0.242178
79,5,178.5162,207.7436,523.7122,-0.008217,-0.006067,0.261586
86,5,178.5162,207.7436,523.7122,-0.008217,-0.006067,0.261586
87,5,167.9085,195.6847,4626.5986,-0.082051,-0.060411,0.263740
87,6,169.3118,194.8184,-1180.8216,0.020596,0.015556,-0.244709
87,7,199.3402,228.9872,2192.2949,-0.027585,-0.020905,0.242178
89,5,154.1963,181.2508,-96913.5509,2.038012,1.475009,-0.276251
89,6,154.2438,181.2716,98743.4529,-2.075214,-1.502516,0.275971
89,7,182.3716,213.2785,914.7356,-0.013752,-0.010055,0.268827
90,5,162.7111,188.0420,-587.8327,0.011102,0.008312,-0.251271
90,6,188.4963,214.8256,2272.0741,-0.031973,-0.024616,0.230102
97,5,162.7111,188.0420,-587.8327,0.011102,0.008312,-0.251271
97,6,188.4963,214.8256,2272.0741,-0.031973,-0.024616,0.230102
98,5,154.1963,181.2508,-96913.5509,2.038012,1.475009,-0.276251
98,6,154.2438,181.2716,98743.4529,-2.075214,-1.502516,0.275971
98,7,182.3716,213.2785,914.7356,-0.013752,-0.010055,0.268827
99,6,152.0340,188.0924,-427.4082,0.009246,0.006040,-0.346660
99,7,152.0340,188.0924,-3981.9256,0.086135,0.056276,-0.346660
99,8,196.8774,224.2034,171.2561,-0.002209,-0.001703,0.228907
100,6,151.1262,194.3537,-3099.2609,0.067850,0.041024,-0.395364
100,7,171.7638,198.5474,-497.5956,0.008433,0.006311,-0.251598
101,6,158.8894,199.7630,1768.2370,-0.035020,-0.022155,0.367356
102,5,162.7111,188.0420,-1732.7255,0.032724,0.024501,-0.251271
102,6,188.4963,214.8256,3253.6170,-0.045786,-0.035250,0.230102
103,5,178.5162,207.7436,-600.3335,0.009419,0.006955,-0.261586
104,5,191.0866,218.9916,1957.2287,-0.026801,-0.020406,0.238613
105,5,191.0866,218.9916,1957.2287,-0.026801,-0.020406,0.238613
106,5,178.5162,207.7436,-600.3335,0.009419,0.006955,-0.261586
107,5,162.7111,188.0420,-1732.7255,0.032724,0.024501,-0.251271
107,6,188.4963,214.8256,3253.6170,-0.045786,-0.035250,0.230102
108,6,158.8894,199.7630,1768.2370,-0.035020,-0.022155,0.367356
109,6,151.1262,194.3537,-3099.2609,0.067850,0.041024,-0.395364
109,7,171.7638,198.5474,-497.5956,0.008433,0.006311,-0.251598
110,6,156.5994,184.4564,-2118.8065,0.043200,0.031137,-0.279236
110,7,156.5994,184.4564,-293.6764,0.005988,0.004316,-0.279236
110,8,165.7434,189.6955,580.3168,-0.010562,-0.008063,0.236589
111,6,155.0374,181.8102,-1393.4252,0.028986,0.021077,-0.272830
111,7,163.1188,188.1022,234.7549,-0.004411,-0.003317,0.247996
111,8,177.8464,207.4827,594.4125,-0.009397,-0.006904,0.265273
112,6,151.1262,194.3537,-648.3101,0.014193,0.008582,-0.395364
112,7,171.7638,198.5474,127.0649,-0.002153,-0.001612,0.251598
113,5,154.1963,181.2508,-61770.2431,1.298977,0.940133,-0.276251
113,6,154.2438,181.2716,65046.3389,-1.367028,-0.989768,0.275971
113,7,182.3716,213.2785,873.0111,-0.013124,-0.009596,0.268827
114,5,167.9085,195.6847,3933.8563,-0.069766,-0.051366,0.263740
114,6,169.3118,194.8184,-254.0418,0.004431,0.003347,-0.244709
114,7,199.3402,228.9872,537.9741,-0.006769,-0.005130,0.242178
115,5,173.2883,194.9074,4415.5062,-0.073521,-0.058116,0.209537
115,6,176.8875,208.6933,-368.3911,0.005887,0.004229,-0.281582
116,5,173.2883,194.9074,4415.5062,-0.073521,-0.058116,0.209537
116,6,176.8875,208.6933,-368.3911,0.005887,0.004229,-0.281582
117,5,167.9085,195.6847,3933.8563,-0.069766,-0.051366,0.263740
117,6,169.3118,194.8184,-254.0418,0.004431,0.003347,-0.244709
117,7,199.3402,228.9872,537.9741,-0.006769,-0.005130,0.242178
118,5,154.1963,181.2508,-61770.2431,1.298977,0.940133,-0.276251
118,6,154.2438,181.2716,65046.3389,-1.367028,-0.989768,0.275971
118,7,182.3716,213.2785,873.0111,-0.013124,-0.009596,0.268827
119,6,151.1262,194.3537,-648.3101,0.014193,0.008582,-0.395364
119,7,171.7638,198.5474,127.0649,-0.002153,-0.001612,0.251598
120,6,155.0374,181.8102,-1393.4252,0.028986,0.021077,-0.272830
120,7,163.1188,188.1022,234.7549,-0.004411,-0.003317,0.247996
120,8,177.8464,207.4827,594.4125,-0.009397,-0.006904,0.265273
121,6,156.5994,184.4564,-2118.8065,0.043200,0.031137,-0.279236
121,7,156.5994,184.4564,-293.6764,0.005988,0.004316,-0.279236
121,8,165.7434,189.6955,580.3168,-0.010562,-0.008063,0.236589
122,6,155.0374,181.8102,-1393.4252,0.028986,0.021077,-0.272830
122,7,163.1188,188.1022,234.7549,-0.004411,-0.003317,0.247996
122,8,177.8464,207.4827,594.4125,-0.009397,-0.006904,0.265273
123,6,151.1262,194.3537,-648.3101,0.014193,0.008582,-0.395364
123,7,171.7638,198.5474,127.0649,-0.002153,-0.001612,0.251598
124,5,154.1963,181.2508,-61770.2431,1.298977,0.940133,-0.276251
124,6,154.2438,181.2716,65046.3389,-1.367028,-0.989768,0.275971
124,7,182.3716,213.2785,873.0111,-0.013124,-0.009596,0.268827
125,5,167.9085,195.6847,3933.8563,-0.069766,-0.051366,0.263740
